r     f b  lab
0.000 1 1 (000) 
1.000 0 0 (100) 
1.414 1 0 (110) 
1.732 0 1 (111) 
2.000 1 1 (200) 
2.236 0 0 (210) 
2.449 1 0 (211) 
2.828 1 1 (220) 
3.000 0 0 (221) 
3.000 0 0 (300) 
3.162 1 0 (310) 
3.317 0 1 (311) 
3.464 1 1 (222) 
3.606 0 0 (320) 
3.742 1 0 (321) 
4.000 1 1 (400) 
4.123 0 0 (322) 
4.123 0 0 (410) 
4.243 1 0 (330) 
4.243 1 0 (411) 
4.359 0 1 (331) 
4.472 1 1 (420) 
4.583 0 0 (421) 
4.690 1 0 (332) 
4.899 1 1 (422) 
5.000 0 0 (430) 
5.099 1 0 (431) 
5.196 0 1 (333) 
5.385 0 0 (432) 
5.657 1 1 (440) 
5.745 0 0 (441) 
5.831 1 0 (433) 
6.000 1 1 (442) 
6.403 0 0 (443) 
6.928 1 1 (444) 
