wl,n
22.22,1.51
23.26,1.54
24.39,1.55
25.64,1.56
27.03,1.57
28.57,1.57
30.30,1.57
32.26,1.56
34.48,1.54
37.04,1.53
40.00,1.53
43.48,1.54
47.62,1.58
52.63,1.64
58.82,1.72
66.67,1.81
76.92,1.86
90.91,1.91
100.0,1.93
111.1,1.94
125.0,1.96
142.9,1.97
166.7,2.00
200.0,2.03
247.5,2.06
289.0,2.09
347.2,2.15
433.5,2.22
520.3,2.27
650.2,2.35
867.3,2.47
1041,2.56
1300,2.70
1733,3.05

wl,k
22.22,0.375
23.26,0.359
24.39,0.343
25.64,0.327
27.03,0.31
28.57,0.293
30.30,0.279
32.26,0.28
34.48,0.288
37.04,0.307
40.00,0.344
43.48,0.396
47.62,0.455
52.63,0.503
58.82,0.527
66.67,0.523
76.92,0.506
90.91,0.463
100.0,0.438
111.1,0.416
125.0,0.418
142.9,0.421
166.7,0.438
200.0,0.47
247.5,0.512
289.0,0.543
347.2,0.586
433.5,0.648
520.3,0.712
650.2,0.792
867.3,0.966
1041,1.06
1300,1.169
1733,1.393
