wl,n,k
3.40E-02,0.842171,9.07E-02
3.60E-02,0.83072,1.09E-01
3.80E-02,0.819753,1.30E-01
4.00E-02,0.809997,1.53E-01
4.20E-02,0.802291,1.80E-01
4.40E-02,0.797737,2.09E-01
4.60E-02,0.797007,2.41E-01
4.80E-02,0.805579,2.77E-01
5.00E-02,0.820742,3.00E-01
5.20E-02,0.830957,3.15E-01
5.40E-02,0.83524,3.31E-01
5.60E-02,0.835295,3.50E-01
5.79E-02,0.831628,3.74E-01
6.00E-02,0.830901,4.12E-01
6.19E-02,0.840575,4.56E-01
6.40E-02,0.866994,5.03E-01
6.61E-02,0.903527,5.36E-01
6.81E-02,0.941801,5.63E-01
7.00E-02,0.981692,5.79E-01
7.19E-02,1.020921,5.86E-01
7.40E-02,1.049744,5.80E-01
7.60E-02,1.068724,5.86E-01
7.80E-02,1.087685,5.98E-01
8.00E-02,1.111682,6.13E-01
8.20E-02,1.140628,6.29E-01
8.39E-02,1.173382,6.45E-01
8.59E-02,1.214969,6.57E-01
8.79E-02,1.259495,6.57E-01
8.99E-02,1.302663,6.53E-01
9.20E-02,1.34676,6.44E-01
9.40E-02,1.387639,6.29E-01
9.59E-02,1.425425,6.05E-01
9.79E-02,1.455868,5.75E-01
1.00E-01,1.476628,5.43E-01
1.02E-01,1.493473,5.19E-01
1.04E-01,1.506677,4.93E-01
1.06E-01,1.516305,4.71E-01
1.08E-01,1.523589,4.49E-01
1.10E-01,1.528933,4.30E-01
1.12E-01,1.535363,4.15E-01
1.14E-01,1.543211,3.99E-01
1.16E-01,1.54807,3.83E-01
1.18E-01,1.553435,3.71E-01
1.20E-01,1.56087,3.60E-01
1.22E-01,1.570304,3.49E-01
1.24E-01,1.584638,3.39E-01
1.26E-01,1.606068,3.22E-01
1.28E-01,1.626822,2.88E-01
1.30E-01,1.633849,2.39E-01
1.32E-01,1.61942,1.87E-01
1.34E-01,1.586268,1.49E-01
1.36E-01,1.536403,1.33E-01
1.38E-01,1.496271,1.42E-01
1.40E-01,1.471129,1.68E-01
1.42E-01,1.461485,1.93E-01
1.44E-01,1.460977,2.17E-01
1.46E-01,1.469275,2.41E-01
1.48E-01,1.489551,2.64E-01
1.50E-01,1.521276,2.77E-01
1.52E-01,1.559942,2.77E-01
1.54E-01,1.596861,2.58E-01
1.56E-01,1.620422,2.34E-01
1.58E-01,1.641473,2.02E-01
1.60E-01,1.650184,1.67E-01
1.62E-01,1.652917,1.35E-01
1.64E-01,1.6531,1.04E-01
1.66E-01,1.647245,7.24E-02
1.68E-01,1.635062,4.00E-02
1.70E-01,1.605555,4.00E-03
1.72E-01,1.568183,2.00E-03
1.74E-01,1.549412,1.18E-03
1.75E-01,1.543062,8.39E-04
1.80E-01,1.513343,6.00E-05
1.85E-01,1.491881,1.25E-06
1.90E-01,1.475183,3.62E-07
1.95E-01,1.462543,1.85E-07
2.00E-01,1.451724,1.10E-07
2.05E-01,1.442296,6.71E-08
2.10E-01,1.434685,3.84E-08
2.15E-01,1.427828,2.00E-08
2.20E-01,1.421603,1.27E-08
2.25E-01,1.415921,1.16E-08
2.30E-01,1.410702,1.10E-08
2.35E-01,1.406358,1.07E-08
2.40E-01,1.402321,1.05E-08
2.45E-01,1.398535,9.90E-09
2.50E-01,1.394993,9.31E-09
2.55E-01,1.391674,8.61E-09
2.60E-01,1.388881,7.99E-09
2.65E-01,1.386239,7.44E-09
2.70E-01,1.383726,6.85E-09
2.75E-01,1.381341,6.29E-09
2.80E-01,1.379072,5.79E-09
2.85E-01,1.376902,5.40E-09
2.90E-01,1.375086,4.80E-09
2.95E-01,1.373098,4.40E-09
3.00E-01,1.371437,4.15E-09
3.05E-01,1.369839,3.83E-09
3.10E-01,1.368287,3.55E-09
3.15E-01,1.366812,3.32E-09
3.20E-01,1.365376,3.19E-09
3.25E-01,1.36399,3.08E-09
3.30E-01,1.362616,2.98E-09
3.35E-01,1.361513,2.88E-09
3.40E-01,1.360441,2.77E-09
3.45E-01,1.359231,2.65E-09
3.50E-01,1.358224,2.53E-09
3.55E-01,1.357247,2.42E-09
3.60E-01,1.356295,2.32E-09
3.65E-01,1.35537,2.22E-09
3.70E-01,1.35447,2.12E-09
3.75E-01,1.353594,2.03E-09
3.80E-01,1.35274,1.94E-09
3.85E-01,1.352046,1.84E-09
3.90E-01,1.351231,1.76E-09
3.95E-01,1.350438,1.66E-09
4.00E-01,1.349793,1.58E-09
4.05E-01,1.349159,1.49E-09
4.10E-01,1.348417,1.42E-09
4.15E-01,1.347811,1.34E-09
4.20E-01,1.347219,1.26E-09
4.25E-01,1.346636,1.17E-09
4.30E-01,1.346066,1.09E-09
4.35E-01,1.345505,1.02E-09
4.40E-01,1.344956,9.39E-10
4.45E-01,1.344418,8.69E-10
4.50E-01,1.343889,8.09E-10
4.55E-01,1.343368,7.79E-10
4.60E-01,1.342858,7.60E-10
4.65E-01,1.342455,7.50E-10
4.70E-01,1.341961,7.29E-10
4.75E-01,1.341475,7.01E-10
4.80E-01,1.341093,7.09E-10
4.85E-01,1.34062,7.16E-10
4.90E-01,1.340248,7.34E-10
4.95E-01,1.339791,7.85E-10
5.00E-01,1.33943,9.24E-10
5.05E-01,1.339073,1.08E-09
5.11E-01,1.338635,1.27E-09
5.15E-01,1.338288,1.46E-09
5.20E-01,1.337944,1.57E-09
5.25E-01,1.337607,1.64E-09
5.30E-01,1.337273,1.76E-09
5.35E-01,1.336943,1.89E-09
5.40E-01,1.336615,2.10E-09
5.45E-01,1.336292,2.27E-09
5.50E-01,1.335972,2.44E-09
5.55E-01,1.335656,2.66E-09
5.60E-01,1.335344,2.87E-09
5.65E-01,1.335035,3.13E-09
5.70E-01,1.334729,3.43E-09
5.75E-01,1.334425,3.84E-09
5.79E-01,1.3342,4.43E-09
5.85E-01,1.333902,5.22E-09
5.90E-01,1.333609,6.36E-09
5.96E-01,1.333316,7.72E-09
6.00E-01,1.3331,9.63E-09
6.05E-01,1.332813,1.13E-08
6.10E-01,1.332598,1.24E-08
6.15E-01,1.332317,1.33E-08
6.19E-01,1.332106,1.40E-08
6.25E-01,1.331826,1.47E-08
6.30E-01,1.331619,1.50E-08
6.35E-01,1.331345,1.55E-08
6.40E-01,1.331144,1.57E-08
6.46E-01,1.330877,1.61E-08
6.50E-01,1.330683,1.67E-08
6.55E-01,1.33049,1.78E-08
6.61E-01,1.330238,1.94E-08
6.65E-01,1.330052,2.03E-08
6.70E-01,1.329869,2.10E-08
6.75E-01,1.32969,2.18E-08
6.81E-01,1.329452,2.30E-08
6.85E-01,1.329278,2.47E-08
6.90E-01,1.329106,2.65E-08
6.95E-01,1.328938,2.96E-08
7.00E-01,1.328769,3.35E-08
7.05E-01,1.328603,4.10E-08
7.10E-01,1.32844,5.00E-08
7.14E-01,1.328279,6.00E-08
7.19E-01,1.32812,7.29E-08
7.24E-01,1.327963,9.14E-08
7.29E-01,1.327808,1.15E-07
7.35E-01,1.327652,1.35E-07
7.40E-01,1.327502,1.46E-07
7.45E-01,1.32735,1.53E-07
7.50E-01,1.327201,1.56E-07
7.55E-01,1.327055,1.58E-07
7.60E-01,1.326909,1.58E-07
7.66E-01,1.326764,1.57E-07
7.69E-01,1.326667,1.53E-07
7.74E-01,1.326524,1.48E-07
7.80E-01,1.326382,1.41E-07
7.85E-01,1.326244,1.34E-07
7.91E-01,1.326104,1.28E-07
7.94E-01,1.326012,1.26E-07
8.00E-01,1.325874,1.25E-07
8.05E-01,1.325739,1.27E-07
8.09E-01,1.325648,1.33E-07
8.15E-01,1.325512,1.45E-07
8.20E-01,1.325379,1.62E-07
8.24E-01,1.32529,1.82E-07
8.30E-01,1.325157,2.04E-07
8.36E-01,1.325025,2.24E-07
8.39E-01,1.324937,2.46E-07
8.45E-01,1.324805,2.69E-07
8.49E-01,1.324718,2.93E-07
