Wavelength,Excitation,Emission
300,13.21955,0
301,12.83467,0
302,12.38286,0
303,12.08166,0
304,11.84739,0
305,11.61312,0
306,11.51272,0
307,11.46252,0
308,11.47925,0
309,11.56292,0
310,11.69679,0
311,11.89759,0
312,12.08166,0
313,12.33266,0
314,12.71754,0
315,13.03547,0
316,13.40361,0
317,13.93909,0
318,14.37416,0
319,14.80924,0
320,15.39491,0
321,15.94712,0
322,16.49933,0
323,17.23561,0
324,17.88822,0
325,18.54083,0
326,19.44444,0
327,20.19746,0
328,20.917,0
329,21.87082,0
330,22.64056,0
331,23.44378,0
332,24.51473,0
333,25.28447,0
334,26.12115,0
335,27.27577,0
336,28.17938,0
337,29.0328,0
338,30.13721,0
339,30.92369,0
340,31.64324,0
341,32.53012,0
342,33.13253,0
343,33.70147,0
344,34.30388,0
345,34.72222,0
346,35.02343,0
347,35.2577,0
348,35.39157,0
349,35.57563,0
350,35.69277,0
351,35.72624,0
352,35.70951,0
353,35.59237,0
354,35.47523,0
355,35.29116,0
356,34.85609,0
357,34.47122,0
358,34.00268,0
359,33.2162,0
360,32.44645,0
361,31.60977,0
362,30.40495,0
363,29.3842,0
364,28.38019,0
365,27.02477,0
366,26.00401,0
367,25.11713,0
368,24.06292,0
369,23.39357,0
370,22.84137,0
371,22.27242,0
372,21.93775,0
373,21.63655,0
374,21.28514,0
375,20.93373,0
376,20.54886,0
377,19.84605,0
378,19.14324,0
379,18.35676,0
380,17.15194,0
381,16.08099,0
382,15.02677,0
383,13.62115,0
384,12.51673,0
385,11.52945,0
386,10.3581,0
387,9.454484,0
388,8.718206,0
389,7.848059,0
390,7.245649,0
391,6.777109,0
392,6.258367,0
393,5.873494,0
394,5.572289,0
395,5.254351,0
396,5.070281,0
397,4.902945,0
398,4.735609,0
399,4.668674,0
400,4.60174,0
401,4.501339,0
402,4.451138,0
403,4.400937,0
404,4.36747,0
405,4.36747,0
406,4.36747,0
407,4.36747,0
408,4.384203,0
409,4.384203,0
410,4.400937,0
411,4.400937,0
412,4.417671,0
413,4.451138,0
414,4.467871,0
415,4.434404,0
416,4.434404,0
417,4.434404,0
418,4.434404,0
419,4.400937,0
420,4.384203,0
421,4.317269,0
422,4.283802,0
423,4.233601,0
424,4.200134,0
425,4.1332,0
426,4.066265,0
427,4.032798,0
428,3.965863,0
429,3.898929,0
430,3.865462,0
431,3.781794,0
432,3.731593,0
433,3.664659,0
434,3.597724,0
435,3.564257,0
436,3.514056,0
437,3.480589,0
438,3.430388,0
439,3.380187,0
440,3.313253,0
441,3.263052,0
442,3.212852,0
443,3.129183,0
444,3.028782,0
445,2.978581,0
446,2.87818,0
447,2.794511,0
448,2.69411,0
449,2.593708,0
450,2.51004,0
451,2.426372,0
452,2.309237,0
453,2.208835,0
454,2.125167,0
455,2.024766,0
456,1.941098,0
457,1.874163,0
458,1.773762,0
459,1.706827,0
460,1.639893,0
461,1.556225,0
462,1.506024,0
463,1.455823,0
464,1.388889,0
465,1.338688,0
466,1.305221,0
467,1.25502,0
468,1.221553,0
469,1.204819,0
470,1.171352,0
471,1.154619,0
472,1.121151,0
473,1.104418,0
474,1.087684,0
475,1.07095,0
476,1.054217,0
477,1.02075,0
478,1.02075,0
479,1.004016,0
480,0.9872825,0
481,0.9872825,0
482,0.9872825,0
483,0.9705489,0
484,0.9538153,0
485,0.920348,0
486,0.920348,0
487,0.8868808,0
488,0.8868808,0
489,0.9036145,0
490,0.8868808,0
491,0.9036145,0
492,0.8868808,0
493,0.9036145,0
494,0.9036145,0
495,0.9036145,0
496,0.920348,0
497,0.9370816,0
498,0.9705489,0
499,0.9872825,0
500,1.02075,0
501,1.054217,0
502,1.087684,0
503,1.137885,0
504,1.171352,0
505,1.221553,0
506,1.288487,0
507,1.321954,0
508,1.372155,0
509,1.43909,0
510,1.506024,0
511,1.556225,0
512,1.639893,0
513,1.690094,0
514,1.773762,0
515,1.874163,0
516,1.941098,0
517,1.991299,0
518,2.108434,0
519,2.175368,0
520,2.259036,0
521,2.359438,0
522,2.459839,0
523,2.526774,0
524,2.643909,0
525,2.727577,0
526,2.811245,0
527,2.961847,0
528,3.062249,0
529,3.179384,0
530,3.34672,0
531,3.447122,0
532,3.580991,0
533,3.781794,0
534,3.932396,0
535,4.082999,0
536,4.300535,0
537,4.484605,0
538,4.668674,0
539,4.919679,0
540,5.120482,0
541,5.338019,0
542,5.62249,0
543,5.840026,0
544,6.074297,0
545,6.375502,0
546,6.626506,0
547,6.87751,0
548,7.195449,0
549,7.446453,0
550,7.697456,0
551,8.048862,0
552,8.283133,0
553,8.534137,0
554,8.868809,0
555,9.103079,0
556,9.337349,0
557,9.672021,0
558,9.939759,0
559,10.19076,0
560,10.5087,0
561,10.77644,0
562,11.02744,0
563,11.39558,0
564,11.68005,0
565,11.98126,0
566,12.3996,0
567,12.71754,0
568,13.06894,0
569,13.58768,0
570,13.98929,0
571,14.42436,0
572,15.07697,0
573,15.59572,0
574,16.13119,0
575,16.9344,0
576,17.57028,0
577,18.23962,0
578,19.22691,0
579,19.97992,0
580,20.7664,0
581,21.90428,0
582,22.7577,0
583,23.62785,0
584,24.8996,0
585,25.81995,0
586,26.72356,0
587,27.96185,0
588,28.81526,0
589,29.66868,0
590,30.77309,0
591,31.5261,0
